20180719-1865-1944BR01, 2018,07,19, 20025.0
20190917-1876-1944BR02, 2019,09,17, 22975.0
20170822-2187-1945MD01, 2017,08,22, 21388.0
20200413-1392-1945MD02, 2020,04,13, 26394.0
20231122-2033-1945MD03, 2023,11,22, 31225.0
20180203-0082-1946HW01, 2018,02,03, 20817.0
20190930-2618-1946HW02, 2019,09,30, 24808.0
20240118-1767-1946HW03, 2024,01,18, 28746.0
20140327-3176-1947JM01, 2014,03,27, 20445.0
20191123-2019-1947JM02, 2019,11,23, 24788.0
20210629-2897-1947JM03, 2021,06,29, 27678.0
20121212-2121-1948BS01, 2012,12,12, 21212.0
20180618-1854-1948BS02, 2018,06,18, 25405.0
20240417-1729-1948BS03, 2024,04,17, 29760.0
20201008-0328-1949AL01, 2020,10,08, 23497.0
20220516-1735-1949AL02, 2022,05,16, 26383.0
20240324-2854-1949AL03, 2024,03,24, 29375.0
20240508-0766-1950BL01, 2024,05,08, 28904.0
20200816-1020-1951JS01, 2020,08,16, 25638.0
20230927-2099-1951JS02, 2023,09,27, 27654.0
20200826-3876-1952BW01, 2020,08,26, 27409.0
20170811-0876-1953AM01, 2017,08,11, 28756.0
20230330-2865-1953AM02, 2023,03,30, 32878.0
20200522-4569-1963RE01, 2020,05,22, 23755.0
20220923-6558-1963RE02, 2022,09,23, 26435.0
20190318-7424-1964GG01, 2019,03,18, 26399.0
20210527-7304-1964GG02, 2021,05,27, 28495.0
20220418-1243-1965EW01, 2022,04,18, 27394.0
20240121-5651-1965EW02, 2024,01,21, 29795.0
20181113-2629-1965AS01, 2018,11,13, 27455.0
20210930-6528-1965AS02, 2021,09,30, 29468.0
20210626-4391-1965PB01, 2021,06,26, 26907.0
20240108-3838-1965PB02, 2024,01,08, 31877.0
